"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"10-14 years"	"10-14"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	971	7854649	12.4
	"10-14 years"	"10-14"	"2006"	"2006"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	27	174029	15.5
	"10-14 years"	"10-14"	"2006"	"2006"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	57	511287	11.1
	"10-14 years"	"10-14"	"2006"	"2006"	"Male"	"M"	"Black or African American"	"2054-5"	462	1804779	25.6
	"10-14 years"	"10-14"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	1528	8281099	18.5
	"10-14 years"	"10-14"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	18	173211	Unreliable
	"10-14 years"	"10-14"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	50	504802	9.9
	"10-14 years"	"10-14"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	301	1716222	17.5
	"10-14 years"	"10-14"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	1001	7775847	12.9
	"10-14 years"	"10-14"	"2007"	"2007"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	36	175882	20.5
	"10-14 years"	"10-14"	"2007"	"2007"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	67	522363	12.8
	"10-14 years"	"10-14"	"2007"	"2007"	"Male"	"M"	"Black or African American"	"2054-5"	485	1777494	27.3
	"10-14 years"	"10-14"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	1478	8195221	18.0
	"10-14 years"	"10-14"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	26	176173	14.8
	"10-14 years"	"10-14"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	33	518404	6.4
	"10-14 years"	"10-14"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	289	1692101	17.1
	"10-14 years"	"10-14"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	917	7721796	11.9
	"10-14 years"	"10-14"	"2008"	"2008"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	31	179397	17.3
	"10-14 years"	"10-14"	"2008"	"2008"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	74	533418	13.9
	"10-14 years"	"10-14"	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	420	1752126	24.0
	"10-14 years"	"10-14"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	1359	8133240	16.7
	"10-14 years"	"10-14"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	27	180080	15.0
	"10-14 years"	"10-14"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	43	532573	8.1
	"10-14 years"	"10-14"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	291	1675398	17.4
	"10-14 years"	"10-14"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	917	7700681	11.9
	"10-14 years"	"10-14"	"2009"	"2009"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	36	184330	19.5
	"10-14 years"	"10-14"	"2009"	"2009"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	66	543901	12.1
	"10-14 years"	"10-14"	"2009"	"2009"	"Male"	"M"	"Black or African American"	"2054-5"	427	1736232	24.6
	"10-14 years"	"10-14"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	1321	8107369	16.3
	"10-14 years"	"10-14"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	22	183644	12.0
	"10-14 years"	"10-14"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	46	543282	8.5
	"10-14 years"	"10-14"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	267	1670740	16.0
	"10-14 years"	"10-14"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	885	7699666	11.5
	"10-14 years"	"10-14"	"2010"	"2010"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	40	189252	21.1
	"10-14 years"	"10-14"	"2010"	"2010"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	40	554244	7.2
	"10-14 years"	"10-14"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	384	1731444	22.2
	"10-14 years"	"10-14"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	1265	8104922	15.6
	"10-14 years"	"10-14"	"2011"	"2011"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	24	184569	13.0
	"10-14 years"	"10-14"	"2011"	"2011"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	46	557415	8.3
	"10-14 years"	"10-14"	"2011"	"2011"	"Female"	"F"	"Black or African American"	"2054-5"	241	1674758	14.4
	"10-14 years"	"10-14"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	840	7701080	10.9
	"10-14 years"	"10-14"	"2011"	"2011"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	34	189714	17.9
	"10-14 years"	"10-14"	"2011"	"2011"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	56	567336	9.9
	"10-14 years"	"10-14"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	397	1735896	22.9
	"10-14 years"	"10-14"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	1312	8094084	16.2
	"10-14 years"	"10-14"	"2012"	"2012"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	20	184693	10.8
	"10-14 years"	"10-14"	"2012"	"2012"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	41	570585	7.2
	"10-14 years"	"10-14"	"2012"	"2012"	"Female"	"F"	"Black or African American"	"2054-5"	236	1670741	14.1
	"10-14 years"	"10-14"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	853	7675985	11.1
	"10-14 years"	"10-14"	"2012"	"2012"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	31	189917	16.3
	"10-14 years"	"10-14"	"2012"	"2012"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	60	580503	10.3
	"10-14 years"	"10-14"	"2012"	"2012"	"Male"	"M"	"Black or African American"	"2054-5"	409	1731265	23.6
	"10-14 years"	"10-14"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	1216	8065529	15.1
	"10-14 years"	"10-14"	"2013"	"2013"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	17	184811	Unreliable
	"10-14 years"	"10-14"	"2013"	"2013"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	55	589038	9.3
	"10-14 years"	"10-14"	"2013"	"2013"	"Female"	"F"	"Black or African American"	"2054-5"	233	1660922	14.0
	"10-14 years"	"10-14"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	914	7663160	11.9
	"10-14 years"	"10-14"	"2013"	"2013"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	21	190057	11.0
	"10-14 years"	"10-14"	"2013"	"2013"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	67	597526	11.2
	"10-14 years"	"10-14"	"2013"	"2013"	"Male"	"M"	"Black or African American"	"2054-5"	354	1718248	20.6
	"10-14 years"	"10-14"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	1252	8046692	15.6
	"10-14 years"	"10-14"	"2014"	"2014"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	24	185864	12.9
	"10-14 years"	"10-14"	"2014"	"2014"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	38	612351	6.2
	"10-14 years"	"10-14"	"2014"	"2014"	"Female"	"F"	"Black or African American"	"2054-5"	256	1659163	15.4
	"10-14 years"	"10-14"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	804	7662909	10.5
	"10-14 years"	"10-14"	"2014"	"2014"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	23	190424	12.1
	"10-14 years"	"10-14"	"2014"	"2014"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	71	620183	11.4
	"10-14 years"	"10-14"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	411	1713643	24.0
	"10-14 years"	"10-14"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	1266	8026969	15.8
	"10-14 years"	"10-14"	"2015"	"2015"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	33	186815	17.7
	"10-14 years"	"10-14"	"2015"	"2015"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	40	631345	6.3
	"10-14 years"	"10-14"	"2015"	"2015"	"Female"	"F"	"Black or African American"	"2054-5"	255	1650047	15.5
	"10-14 years"	"10-14"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	905	7633735	11.9
	"10-14 years"	"10-14"	"2015"	"2015"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	28	190706	14.7
	"10-14 years"	"10-14"	"2015"	"2015"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	69	638117	10.8
	"10-14 years"	"10-14"	"2015"	"2015"	"Male"	"M"	"Black or African American"	"2054-5"	398	1702135	23.4
	"10-14 years"	"10-14"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	1281	7989430	16.0
	"10-14 years"	"10-14"	"2016"	"2016"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	27	188285	14.3
	"10-14 years"	"10-14"	"2016"	"2016"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	63	638218	9.9
	"10-14 years"	"10-14"	"2016"	"2016"	"Female"	"F"	"Black or African American"	"2054-5"	263	1651671	15.9
	"10-14 years"	"10-14"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	896	7621327	11.8
	"10-14 years"	"10-14"	"2016"	"2016"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	30	192703	15.6
	"10-14 years"	"10-14"	"2016"	"2016"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	67	646590	10.4
	"10-14 years"	"10-14"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	383	1702168	22.5
	"10-14 years"	"10-14"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	1284	7977271	16.1
	"10-14 years"	"10-14"	"2017"	"2017"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	29	190835	15.2
	"10-14 years"	"10-14"	"2017"	"2017"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	52	653195	8.0
	"10-14 years"	"10-14"	"2017"	"2017"	"Female"	"F"	"Black or African American"	"2054-5"	269	1674743	16.1
	"10-14 years"	"10-14"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	897	7654609	11.7
	"10-14 years"	"10-14"	"2017"	"2017"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	40	195985	20.4
	"10-14 years"	"10-14"	"2017"	"2017"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	65	664684	9.8
	"10-14 years"	"10-14"	"2017"	"2017"	"Male"	"M"	"Black or African American"	"2054-5"	475	1726618	27.5
	"10-14 years"	"10-14"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	1390	8017785	17.3
	"10-14 years"	"10-14"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	41	193005	21.2
	"10-14 years"	"10-14"	"2018"	"2018"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	65	659323	9.9
	"10-14 years"	"10-14"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	310	1701694	18.2
	"10-14 years"	"10-14"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	909	7666665	11.9
	"10-14 years"	"10-14"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	26	198722	13.1
	"10-14 years"	"10-14"	"2018"	"2018"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	76	675962	11.2
	"10-14 years"	"10-14"	"2018"	"2018"	"Male"	"M"	"Black or African American"	"2054-5"	415	1755236	23.6
	"10-14 years"	"10-14"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	1278	8028920	15.9
	"10-14 years"	"10-14"	"2019"	"2019"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	16	193177	Unreliable
	"10-14 years"	"10-14"	"2019"	"2019"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	55	657432	8.4
	"10-14 years"	"10-14"	"2019"	"2019"	"Female"	"F"	"Black or African American"	"2054-5"	272	1716325	15.8
	"10-14 years"	"10-14"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	925	7613073	12.2
	"10-14 years"	"10-14"	"2019"	"2019"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	46	199414	23.1
	"10-14 years"	"10-14"	"2019"	"2019"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	73	677490	10.8
	"10-14 years"	"10-14"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	429	1770421	24.2
	"10-14 years"	"10-14"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	1348	7970936	16.9
	"10-14 years"	"10-14"	"2020 "	"2020"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	28	193685	14.5
	"10-14 years"	"10-14"	"2020 "	"2020"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	53	658828	8.0
	"10-14 years"	"10-14"	"2020 "	"2020"	"Female"	"F"	"Black or African American"	"2054-5"	296	1727727	17.1
	"10-14 years"	"10-14"	"2020 "	"2020"	"Female"	"F"	"White"	"2106-3"	919	7579215	12.1
	"10-14 years"	"10-14"	"2020 "	"2020"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	41	199634	20.5
	"10-14 years"	"10-14"	"2020 "	"2020"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	77	683628	11.3
	"10-14 years"	"10-14"	"2020 "	"2020"	"Male"	"M"	"Black or African American"	"2054-5"	555	1782378	31.1
	"10-14 years"	"10-14"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	1444	7929328	18.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	66	132191	49.9
	"15-19 years"	"15-19"	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	107	424754	25.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	692	1532399	45.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	3133	7672225	40.8
	"15-19 years"	"15-19"	"1999"	"1999"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	179	139002	128.8
	"15-19 years"	"15-19"	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	222	442058	50.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	2157	1567014	137.7
	"15-19 years"	"15-19"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	7222	8174959	88.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	73	138139	52.8
	"15-19 years"	"15-19"	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	90	437019	20.6
	"15-19 years"	"15-19"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	672	1536869	43.7
	"15-19 years"	"15-19"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	3031	7716859	39.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	178	145627	122.2
	"15-19 years"	"15-19"	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	232	454896	51.0
	"15-19 years"	"15-19"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	2045	1571778	130.1
	"15-19 years"	"15-19"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	7242	8218703	88.1
	"15-19 years"	"15-19"	"2001"	"2001"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	87	145669	59.7
	"15-19 years"	"15-19"	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	101	445450	22.7
	"15-19 years"	"15-19"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	630	1555227	40.5
	"15-19 years"	"15-19"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	2971	7762551	38.3
	"15-19 years"	"15-19"	"2001"	"2001"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	186	154800	120.2
	"15-19 years"	"15-19"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	236	466780	50.6
	"15-19 years"	"15-19"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	2080	1608807	129.3
	"15-19 years"	"15-19"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	7264	8317000	87.3
	"15-19 years"	"15-19"	"2002"	"2002"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	89	151482	58.8
	"15-19 years"	"15-19"	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	101	452708	22.3
	"15-19 years"	"15-19"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	639	1578608	40.5
	"15-19 years"	"15-19"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	3139	7799081	40.2
	"15-19 years"	"15-19"	"2002"	"2002"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	178	161823	110.0
	"15-19 years"	"15-19"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	229	474891	48.2
	"15-19 years"	"15-19"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	1963	1635301	120.0
	"15-19 years"	"15-19"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	7474	8356476	89.4
	"15-19 years"	"15-19"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	91	156952	58.0
	"15-19 years"	"15-19"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	116	463702	25.0
	"15-19 years"	"15-19"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	598	1615115	37.0
	"15-19 years"	"15-19"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	3084	7850798	39.3
	"15-19 years"	"15-19"	"2003"	"2003"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	195	168047	116.0
	"15-19 years"	"15-19"	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	229	487103	47.0
	"15-19 years"	"15-19"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	1974	1666650	118.4
	"15-19 years"	"15-19"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	7308	8388799	87.1
	"15-19 years"	"15-19"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	89	163054	54.6
	"15-19 years"	"15-19"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	95	477348	19.9
	"15-19 years"	"15-19"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	661	1665568	39.7
	"15-19 years"	"15-19"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	3183	7936823	40.1
	"15-19 years"	"15-19"	"2004"	"2004"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	171	174726	97.9
	"15-19 years"	"15-19"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	221	502397	44.0
	"15-19 years"	"15-19"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	2019	1716424	117.6
	"15-19 years"	"15-19"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	7267	8466212	85.8
	"15-19 years"	"15-19"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	102	169747	60.1
	"15-19 years"	"15-19"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	96	493788	19.4
	"15-19 years"	"15-19"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	650	1729257	37.6
	"15-19 years"	"15-19"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	2969	8041997	36.9
	"15-19 years"	"15-19"	"2005"	"2005"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	180	181620	99.1
	"15-19 years"	"15-19"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	218	520456	41.9
	"15-19 years"	"15-19"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	2189	1781344	122.9
	"15-19 years"	"15-19"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	7299	8568005	85.2
	"15-19 years"	"15-19"	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	96	176207	54.5
	"15-19 years"	"15-19"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	108	510844	21.1
	"15-19 years"	"15-19"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	643	1783598	36.1
	"15-19 years"	"15-19"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	2974	8126644	36.6
	"15-19 years"	"15-19"	"2006"	"2006"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	195	187817	103.8
	"15-19 years"	"15-19"	"2006"	"2006"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	246	538230	45.7
	"15-19 years"	"15-19"	"2006"	"2006"	"Male"	"M"	"Black or African American"	"2054-5"	2309	1838852	125.6
	"15-19 years"	"15-19"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	7168	8645517	82.9
	"15-19 years"	"15-19"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	83	181783	45.7
	"15-19 years"	"15-19"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	90	529225	17.0
	"15-19 years"	"15-19"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	654	1829855	35.7
	"15-19 years"	"15-19"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	2914	8190463	35.6
	"15-19 years"	"15-19"	"2007"	"2007"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	182	193480	94.1
	"15-19 years"	"15-19"	"2007"	"2007"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	223	558305	39.9
	"15-19 years"	"15-19"	"2007"	"2007"	"Male"	"M"	"Black or African American"	"2054-5"	2302	1886818	122.0
	"15-19 years"	"15-19"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	6851	8697887	78.8
	"15-19 years"	"15-19"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	90	186447	48.3
	"15-19 years"	"15-19"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	80	545938	14.7
	"15-19 years"	"15-19"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	681	1862208	36.6
	"15-19 years"	"15-19"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	2598	8210555	31.6
	"15-19 years"	"15-19"	"2008"	"2008"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	174	197665	88.0
	"15-19 years"	"15-19"	"2008"	"2008"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	193	575300	33.5
	"15-19 years"	"15-19"	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	2175	1923433	113.1
	"15-19 years"	"15-19"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	6416	8709334	73.7
	"15-19 years"	"15-19"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	81	190253	42.6
	"15-19 years"	"15-19"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	92	560930	16.4
	"15-19 years"	"15-19"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	632	1872421	33.8
	"15-19 years"	"15-19"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	2539	8180967	31.0
	"15-19 years"	"15-19"	"2009"	"2009"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	189	201012	94.0
	"15-19 years"	"15-19"	"2009"	"2009"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	186	590257	31.5
	"15-19 years"	"15-19"	"2009"	"2009"	"Male"	"M"	"Black or African American"	"2054-5"	1939	1933253	100.3
	"15-19 years"	"15-19"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	5862	8663717	67.7
	"15-19 years"	"15-19"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	66	191284	34.5
	"15-19 years"	"15-19"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	91	572320	15.9
	"15-19 years"	"15-19"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	566	1857418	30.5
	"15-19 years"	"15-19"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	2298	8115655	28.3
	"15-19 years"	"15-19"	"2010"	"2010"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	176	202036	87.1
	"15-19 years"	"15-19"	"2010"	"2010"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	176	600881	29.3
	"15-19 years"	"15-19"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	1965	1917774	102.5
	"15-19 years"	"15-19"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	5549	8582975	64.7
	"15-19 years"	"15-19"	"2011"	"2011"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	77	188432	40.9
	"15-19 years"	"15-19"	"2011"	"2011"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	82	562325	14.6
	"15-19 years"	"15-19"	"2011"	"2011"	"Female"	"F"	"Black or African American"	"2054-5"	567	1798629	31.5
	"15-19 years"	"15-19"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	2250	7975711	28.2
	"15-19 years"	"15-19"	"2011"	"2011"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	156	197857	78.8
	"15-19 years"	"15-19"	"2011"	"2011"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	165	586827	28.1
	"15-19 years"	"15-19"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	1813	1868011	97.1
	"15-19 years"	"15-19"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	5484	8466251	64.8
	"15-19 years"	"15-19"	"2012"	"2012"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	60	185551	32.3
	"15-19 years"	"15-19"	"2012"	"2012"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	73	572572	12.7
	"15-19 years"	"15-19"	"2012"	"2012"	"Female"	"F"	"Black or African American"	"2054-5"	540	1759361	30.7
	"15-19 years"	"15-19"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	2177	7880357	27.6
	"15-19 years"	"15-19"	"2012"	"2012"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	143	193652	73.8
	"15-19 years"	"15-19"	"2012"	"2012"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	186	593613	31.3
	"15-19 years"	"15-19"	"2012"	"2012"	"Male"	"M"	"Black or African American"	"2054-5"	1776	1825578	97.3
